,,,,,,,,,No Filters Selected,No Filters Selected,No Filters Selected
Distributors,OnOff Premises,Account Names,Address,City,State,Distributor,Item Names,Dist Routes,2 Quarters 4/1/2026 thru 7/20/2026  Case Equivs,2 Quarters 4/1/2026 thru 7/20/2026  Days Since Last Sale,2 Quarters 4/1/2026 thru 7/20/2026  Days Until Fall Off
"Doll Dist - Des Moines, IA",OFF,CASEYS #1706,1021 N 1ST ST,WINTERSET,IA,DOLL2,Eddy Variety Pack 2/12/12oz Can,"KARAS  B 652- Doll Dist - Des Moines, IA",1,21,69
"Doll Dist - Des Moines, IA",OFF,CASEYS #1706,1021 N 1ST ST,WINTERSET,IA,DOLL2,Neighborhood Beer 4/6/12oz Can,"KARAS  B 652- Doll Dist - Des Moines, IA",1,105,-15
"Doll Dist - Des Moines, IA",OFF,CASEYS #1706,1021 N 1ST ST,WINTERSET,IA,DOLL2,Royal Eddy 1/12/19.2oz Can,"KARAS  B 652- Doll Dist - Des Moines, IA",0.8,105,-15
"Doll Dist - Des Moines, IA",OFF,QUIKTRIP #531,1900 SE 37TH ST,GRIMES,IA,DOLL2,Easy Eddy 4/6/12oz Can,"SCHAFFER  R 655- Doll Dist - Des Moines, IA",13,4,86
"Doll Dist - Des Moines, IA",OFF,QUIKTRIP #531,1900 SE 37TH ST,GRIMES,IA,DOLL2,Easy Eddy 1/12/19.2 oz Can,"SCHAFFER  R 655- Doll Dist - Des Moines, IA",5.6,4,86
"Doll Dist - Des Moines, IA",OFF,QUIKTRIP #531,1900 SE 37TH ST,GRIMES,IA,DOLL2,Citrus Surfer 4/6/12oz Can,"SCHAFFER  R 655- Doll Dist - Des Moines, IA",3,18,72
"Doll Dist - Des Moines, IA",OFF,QUIKTRIP #531,1900 SE 37TH ST,GRIMES,IA,DOLL2,Tigerhawk 2/12/12oz Can,"SCHAFFER  R 655- Doll Dist - Des Moines, IA",2,18,72
"Doll Dist - Des Moines, IA",OFF,QUIKTRIP #531,1900 SE 37TH ST,GRIMES,IA,DOLL2,Citrus Surfer 1/12/19.2oz Can,"SCHAFFER  R 655- Doll Dist - Des Moines, IA",1.6,4,86
"Doll Dist - Des Moines, IA",OFF,EAST VILLAGE PANTRY,333 E GRAND AVE UNIT 104,DES MOINES,IA,DOLL2,Easy Eddy 4/6/12oz Can,"HOLCOMB  J 403- Doll Dist - Des Moines, IA",14,15,75
"Doll Dist - Des Moines, IA",OFF,EAST VILLAGE PANTRY,333 E GRAND AVE UNIT 104,DES MOINES,IA,DOLL2,Citrus Surfer 4/6/12oz Can,"HOLCOMB  J 403- Doll Dist - Des Moines, IA",5,22,68
"Doll Dist - Des Moines, IA",OFF,EAST VILLAGE PANTRY,333 E GRAND AVE UNIT 104,DES MOINES,IA,DOLL2,Neighborhood Beer 4/6/12oz Can,"HOLCOMB  J 403- Doll Dist - Des Moines, IA",4,29,61
"Doll Dist - Des Moines, IA",OFF,EAST VILLAGE PANTRY,333 E GRAND AVE UNIT 104,DES MOINES,IA,DOLL2,Royal Eddy 4/6/12oz Can,"HOLCOMB  J 403- Doll Dist - Des Moines, IA",1,78,12
"Doll Dist - Des Moines, IA",OFF,EAST VILLAGE PANTRY,333 E GRAND AVE UNIT 104,DES MOINES,IA,DOLL2,Zero Eddy 4/6/12oz Can,"HOLCOMB  J 403- Doll Dist - Des Moines, IA",1,99,-9
"Doll Dist - Des Moines, IA",OFF,KWIK STAR #1703,5608 MERLE HAY RD,JOHNSTON,IA,DOLL2,Easy Eddy 4/6/12oz Can,"SCHAFFER  R 655- Doll Dist - Des Moines, IA",12,18,72
"Doll Dist - Des Moines, IA",OFF,KWIK STAR #1703,5608 MERLE HAY RD,JOHNSTON,IA,DOLL2,Citrus Surfer 4/6/12oz Can,"SCHAFFER  R 655- Doll Dist - Des Moines, IA",3,4,86
"Doll Dist - Des Moines, IA",OFF,KWIK STAR #1703,5608 MERLE HAY RD,JOHNSTON,IA,DOLL2,Easy Eddy 2/12/12oz Can,"SCHAFFER  R 655- Doll Dist - Des Moines, IA",3,25,65
"Doll Dist - Des Moines, IA",OFF,KWIK STAR #1703,5608 MERLE HAY RD,JOHNSTON,IA,DOLL2,Easy Eddy 1/12/19.2 oz Can,"SCHAFFER  R 655- Doll Dist - Des Moines, IA",2.4,60,30
"Doll Dist - Des Moines, IA",OFF,KWIK STAR #1703,5608 MERLE HAY RD,JOHNSTON,IA,DOLL2,Royal Eddy 4/6/12oz Can,"SCHAFFER  R 655- Doll Dist - Des Moines, IA",2,18,72
"Doll Dist - Des Moines, IA",OFF,KWIK STAR #1703,5608 MERLE HAY RD,JOHNSTON,IA,DOLL2,Citrus Surfer 1/12/19.2oz Can,"SCHAFFER  R 655- Doll Dist - Des Moines, IA",1.6,18,72
"Doll Dist - Des Moines, IA",OFF,KWIK STAR #1703,5608 MERLE HAY RD,JOHNSTON,IA,DOLL2,Eddy Variety Pack 2/12/12oz Can,"SCHAFFER  R 655- Doll Dist - Des Moines, IA",1,67,23
"Doll Dist - Des Moines, IA",OFF,TARGET STORE #69,1800 VALLEY WEST DR,WEST DES MOINES,IA,DOLL2,Easy Eddy 2/12/12oz Can,"BURROWS  A 308- Doll Dist - Des Moines, IA",12,20,70
"Doll Dist - Des Moines, IA",OFF,TARGET STORE #69,1800 VALLEY WEST DR,WEST DES MOINES,IA,DOLL2,Easy Eddy 4/6/12oz Can,"BURROWS  A 308- Doll Dist - Des Moines, IA",9,34,56
"Doll Dist - Des Moines, IA",OFF,TARGET STORE #69,1800 VALLEY WEST DR,WEST DES MOINES,IA,DOLL2,Citrus Surfer 4/6/12oz Can,"BURROWS  A 308- Doll Dist - Des Moines, IA",4,34,56
"Doll Dist - Des Moines, IA",OFF,CASEYS #2490,1625 BROAD ST,STORY CITY,IA,DOLL2,Tigerhawk 2/12/12oz Can,"LITTLE  S 605- Doll Dist - Des Moines, IA",10,8,82
"Doll Dist - Des Moines, IA",OFF,CASEYS #2490,1625 BROAD ST,STORY CITY,IA,DOLL2,Royal Eddy 1/12/19.2oz Can,"LITTLE  S 605- Doll Dist - Des Moines, IA",3.2,29,61
"Doll Dist - Des Moines, IA",OFF,CASEYS #2490,1625 BROAD ST,STORY CITY,IA,DOLL2,Easy Eddy 4/6/12oz Can,"LITTLE  S 605- Doll Dist - Des Moines, IA",3,22,68
"Doll Dist - Des Moines, IA",OFF,CASEYS #2490,1625 BROAD ST,STORY CITY,IA,DOLL2,Easy Eddy 2/12/12oz Can,"LITTLE  S 605- Doll Dist - Des Moines, IA",2,50,40
"Doll Dist - Des Moines, IA",OFF,CASEYS #2490,1625 BROAD ST,STORY CITY,IA,DOLL2,Citrus Surfer 4/6/12oz Can,"LITTLE  S 605- Doll Dist - Des Moines, IA",2,22,68
"Doll Dist - Des Moines, IA",OFF,CASEYS #2490,1625 BROAD ST,STORY CITY,IA,DOLL2,Easy Eddy 1/12/19.2 oz Can,"LITTLE  S 605- Doll Dist - Des Moines, IA",1.6,50,40
"Doll Dist - Des Moines, IA",OFF,CASEYS #2490,1625 BROAD ST,STORY CITY,IA,DOLL2,Royal Eddy 4/6/12oz Can,"LITTLE  S 605- Doll Dist - Des Moines, IA",1,85,5
"Doll Dist - Des Moines, IA",OFF,CASEYS #2490,1625 BROAD ST,STORY CITY,IA,DOLL2,Eddy Variety Pack 2/12/12oz Can,"LITTLE  S 605- Doll Dist - Des Moines, IA",1,106,-16
"Doll Dist - Des Moines, IA",OFF,CASEYS #2490,1625 BROAD ST,STORY CITY,IA,DOLL2,Neighborhood Beer 4/6/12oz Can,"LITTLE  S 605- Doll Dist - Des Moines, IA",1,92,-2
"Doll Dist - Des Moines, IA",OFF,CORK & BOTTLE,309 A AVE WEST,OSKALOOSA,IA,DOLL2,Easy Eddy 2/12/12oz Can,"SAVAGE  J 103- Doll Dist - Des Moines, IA",6,12,78
"Doll Dist - Des Moines, IA",OFF,CORK & BOTTLE,309 A AVE WEST,OSKALOOSA,IA,DOLL2,Eddy Variety Pack 2/12/12oz Can,"SAVAGE  J 103- Doll Dist - Des Moines, IA",5,12,78
"Doll Dist - Des Moines, IA",OFF,CORK & BOTTLE,309 A AVE WEST,OSKALOOSA,IA,DOLL2,Easy Eddy 4/6/12oz Can,"SAVAGE  J 103- Doll Dist - Des Moines, IA",3,12,78
"Doll Dist - Des Moines, IA",OFF,CORK & BOTTLE,309 A AVE WEST,OSKALOOSA,IA,DOLL2,Tigerhawk 2/12/12oz Can,"SAVAGE  J 103- Doll Dist - Des Moines, IA",3,12,78
"Doll Dist - Des Moines, IA",OFF,CORK & BOTTLE,309 A AVE WEST,OSKALOOSA,IA,DOLL2,Citrus Surfer Variety Pack 2/12/12oz Can,"SAVAGE  J 103- Doll Dist - Des Moines, IA",2,82,8
"Doll Dist - Des Moines, IA",OFF,CORK & BOTTLE,309 A AVE WEST,OSKALOOSA,IA,DOLL2,Eddy Variety Pack 2/12/12oz Can,"SAVAGE  J 103- Doll Dist - Des Moines, IA",1,95,-5
"Doll Dist - Des Moines, IA",OFF,CORK & BOTTLE,309 A AVE WEST,OSKALOOSA,IA,DOLL2,Summer Jam 6/4/12oz Can,"SAVAGE  J 103- Doll Dist - Des Moines, IA",1,47,43
"Doll Dist - Des Moines, IA",OFF,CORK & BOTTLE,309 A AVE WEST,OSKALOOSA,IA,DOLL2,Citrus Surfer 4/6/12oz Can,"SAVAGE  J 103- Doll Dist - Des Moines, IA",1,68,22
"Doll Dist - Des Moines, IA",OFF,CORK & BOTTLE,309 A AVE WEST,OSKALOOSA,IA,DOLL2,Wild Eddy 4/6/12oz Can,"SAVAGE  J 103- Doll Dist - Des Moines, IA",1,5,85
"Doll Dist - Des Moines, IA",OFF,CORK & BOTTLE,309 A AVE WEST,OSKALOOSA,IA,DOLL2,Citrus Surfer 1/12/19.2oz Can,"SAVAGE  J 103- Doll Dist - Des Moines, IA",0.8,68,22
"Doll Dist - Des Moines, IA",OFF,CORK & BOTTLE,309 A AVE WEST,OSKALOOSA,IA,DOLL2,Easy Eddy 1/12/19.2 oz Can,"SAVAGE  J 103- Doll Dist - Des Moines, IA",0.8,68,22
"Doll Dist - Des Moines, IA",OFF,CASEYS #2568,1510 SUNSET DR,NORWALK,IA,DOLL2,Tigerhawk 2/12/12oz Can,"HIEB  M 406- Doll Dist - Des Moines, IA",10,36,54
"Doll Dist - Des Moines, IA",OFF,CASEYS #2568,1510 SUNSET DR,NORWALK,IA,DOLL2,Citrus Surfer 4/6/12oz Can,"HIEB  M 406- Doll Dist - Des Moines, IA",4,22,68
"Doll Dist - Des Moines, IA",OFF,CASEYS #2568,1510 SUNSET DR,NORWALK,IA,DOLL2,Easy Eddy 4/6/12oz Can,"HIEB  M 406- Doll Dist - Des Moines, IA",4,22,68
"Doll Dist - Des Moines, IA",OFF,CASEYS #2568,1510 SUNSET DR,NORWALK,IA,DOLL2,Neighborhood Beer 4/6/12oz Can,"HIEB  M 406- Doll Dist - Des Moines, IA",2,50,40
"Doll Dist - Des Moines, IA",OFF,CASEYS #2568,1510 SUNSET DR,NORWALK,IA,DOLL2,Easy Eddy 1/12/19.2 oz Can,"HIEB  M 406- Doll Dist - Des Moines, IA",1.6,29,61
"Doll Dist - Des Moines, IA",OFF,CASEYS #2568,1510 SUNSET DR,NORWALK,IA,DOLL2,Eddy Variety Pack 2/12/12oz Can,"HIEB  M 406- Doll Dist - Des Moines, IA",1,43,47
"Doll Dist - Des Moines, IA",OFF,CASEYS #2568,1510 SUNSET DR,NORWALK,IA,DOLL2,Royal Eddy 4/6/12oz Can,"HIEB  M 406- Doll Dist - Des Moines, IA",1,22,68
"Doll Dist - Des Moines, IA",OFF,CASEYS #2568,1510 SUNSET DR,NORWALK,IA,DOLL2,Royal Eddy 1/12/19.2oz Can,"HIEB  M 406- Doll Dist - Des Moines, IA",0.8,36,54
"Doll Dist - Des Moines, IA",OFF,KWIK STAR #1055,2351 E 1ST ST,GRIMES,IA,DOLL2,Easy Eddy 2/12/12oz Can,"SCHAFFER  R 655- Doll Dist - Des Moines, IA",10,22,68
"Doll Dist - Des Moines, IA",OFF,KWIK STAR #1055,2351 E 1ST ST,GRIMES,IA,DOLL2,Easy Eddy 4/6/12oz Can,"SCHAFFER  R 655- Doll Dist - Des Moines, IA",7,22,68
"Doll Dist - Des Moines, IA",OFF,KWIK STAR #1055,2351 E 1ST ST,GRIMES,IA,DOLL2,Citrus Surfer 4/6/12oz Can,"SCHAFFER  R 655- Doll Dist - Des Moines, IA",4,22,68
"Doll Dist - Des Moines, IA",OFF,KWIK STAR #1055,2351 E 1ST ST,GRIMES,IA,DOLL2,Easy Eddy 1/12/19.2 oz Can,"SCHAFFER  R 655- Doll Dist - Des Moines, IA",2.4,22,68
"Doll Dist - Des Moines, IA",OFF,KWIK STAR #1055,2351 E 1ST ST,GRIMES,IA,DOLL2,Royal Eddy 1/12/19.2oz Can,"SCHAFFER  R 655- Doll Dist - Des Moines, IA",0.8,64,26
"Doll Dist - Des Moines, IA",OFF,FAREWAY #212,28 E HOWARD ST,COLFAX,IA,DOLL2,Easy Eddy 2/12/12oz Can,"LINSLEY  S 604- Doll Dist - Des Moines, IA",10,11,79
"Doll Dist - Des Moines, IA",OFF,FAREWAY #212,28 E HOWARD ST,COLFAX,IA,DOLL2,Easy Eddy 4/6/12oz Can,"LINSLEY  S 604- Doll Dist - Des Moines, IA",6,25,65
"Doll Dist - Des Moines, IA",OFF,FAREWAY #212,28 E HOWARD ST,COLFAX,IA,DOLL2,Citrus Surfer 4/6/12oz Can,"LINSLEY  S 604- Doll Dist - Des Moines, IA",6,18,72
"Doll Dist - Des Moines, IA",OFF,FAREWAY #212,28 E HOWARD ST,COLFAX,IA,DOLL2,Neighborhood Beer 4/6/12oz Can,"LINSLEY  S 604- Doll Dist - Des Moines, IA",2,11,79
"Doll Dist - Des Moines, IA",OFF,CASEYS #3518,1907 ARMY POST RD,DES MOINES,IA,DOLL2,Tigerhawk 2/12/12oz Can,"CAMPERO  D 405- Doll Dist - Des Moines, IA",10,26,64
"Doll Dist - Des Moines, IA",OFF,CASEYS #3518,1907 ARMY POST RD,DES MOINES,IA,DOLL2,Easy Eddy 4/6/12oz Can,"CAMPERO  D 405- Doll Dist - Des Moines, IA",6,19,71
"Doll Dist - Des Moines, IA",OFF,CASEYS #3518,1907 ARMY POST RD,DES MOINES,IA,DOLL2,Easy Eddy 1/12/19.2 oz Can,"CAMPERO  D 405- Doll Dist - Des Moines, IA",3.2,26,64
"Doll Dist - Des Moines, IA",OFF,CASEYS #3518,1907 ARMY POST RD,DES MOINES,IA,DOLL2,Royal Eddy 4/6/12oz Can,"CAMPERO  D 405- Doll Dist - Des Moines, IA",2,40,50
"Doll Dist - Des Moines, IA",OFF,CASEYS #3518,1907 ARMY POST RD,DES MOINES,IA,DOLL2,Citrus Surfer 4/6/12oz Can,"CAMPERO  D 405- Doll Dist - Des Moines, IA",1,19,71
"Doll Dist - Des Moines, IA",OFF,CASEYS #3518,1907 ARMY POST RD,DES MOINES,IA,DOLL2,Neighborhood Beer 4/6/12oz Can,"CAMPERO  D 405- Doll Dist - Des Moines, IA",1,33,57
"Doll Dist - Des Moines, IA",OFF,CASEYS #3518,1907 ARMY POST RD,DES MOINES,IA,DOLL2,Royal Eddy 1/12/19.2oz Can,"CAMPERO  D 405- Doll Dist - Des Moines, IA",0.8,75,15
"Doll Dist - Des Moines, IA",OFF,CASEYS #3333,5550 E UNIVERSITY AVE,PLEASANT HILL,IA,DOLL2,Tigerhawk 2/12/12oz Can,"CAMPERO  D 405- Doll Dist - Des Moines, IA",10,35,55
"Doll Dist - Des Moines, IA",OFF,CASEYS #3333,5550 E UNIVERSITY AVE,PLEASANT HILL,IA,DOLL2,Easy Eddy 4/6/12oz Can,"CAMPERO  D 405- Doll Dist - Des Moines, IA",7,14,76
"Doll Dist - Des Moines, IA",OFF,CASEYS #3333,5550 E UNIVERSITY AVE,PLEASANT HILL,IA,DOLL2,Citrus Surfer 4/6/12oz Can,"CAMPERO  D 405- Doll Dist - Des Moines, IA",3,35,55
"Doll Dist - Des Moines, IA",OFF,CASEYS #3333,5550 E UNIVERSITY AVE,PLEASANT HILL,IA,DOLL2,Eddy Variety Pack 2/12/12oz Can,"CAMPERO  D 405- Doll Dist - Des Moines, IA",1,35,55
"Doll Dist - Des Moines, IA",OFF,CASEYS #3333,5550 E UNIVERSITY AVE,PLEASANT HILL,IA,DOLL2,Royal Eddy 4/6/12oz Can,"CAMPERO  D 405- Doll Dist - Des Moines, IA",1,55,35
"Doll Dist - Des Moines, IA",OFF,CASEYS #3333,5550 E UNIVERSITY AVE,PLEASANT HILL,IA,DOLL2,Easy Eddy 1/12/19.2 oz Can,"CAMPERO  D 405- Doll Dist - Des Moines, IA",0.8,28,62
"Doll Dist - Des Moines, IA",OFF,CASEYS #3333,5550 E UNIVERSITY AVE,PLEASANT HILL,IA,DOLL2,Royal Eddy 1/12/19.2oz Can,"CAMPERO  D 405- Doll Dist - Des Moines, IA",0.8,28,62
"Doll Dist - Des Moines, IA",OFF,ROYAL LIQUOR & SMOKE,229 WEST ST,GRINNELL,IA,DOLL2,Easy Eddy 2/12/12oz Can,"UPAH  T 122- Doll Dist - Des Moines, IA",4,60,30
"Doll Dist - Des Moines, IA",OFF,ROYAL LIQUOR & SMOKE,229 WEST ST,GRINNELL,IA,DOLL2,Tigerhawk 2/12/12oz Can,"UPAH  T 122- Doll Dist - Des Moines, IA",3,11,79
"Doll Dist - Des Moines, IA",OFF,ROYAL LIQUOR & SMOKE,229 WEST ST,GRINNELL,IA,DOLL2,Wild Eddy 4/6/12oz Can,"UPAH  T 122- Doll Dist - Des Moines, IA",3,4,86
"Doll Dist - Des Moines, IA",OFF,ROYAL LIQUOR & SMOKE,229 WEST ST,GRINNELL,IA,DOLL2,Eddy Variety Pack 2/12/12oz Can,"UPAH  T 122- Doll Dist - Des Moines, IA",2,32,58
"Doll Dist - Des Moines, IA",OFF,ROYAL LIQUOR & SMOKE,229 WEST ST,GRINNELL,IA,DOLL2,Arms Race Pale Ale 4/6/12oz Can,"UPAH  T 122- Doll Dist - Des Moines, IA",1,81,9
"Doll Dist - Des Moines, IA",OFF,ROYAL LIQUOR & SMOKE,229 WEST ST,GRINNELL,IA,DOLL2,Easy Going 4/6/12oz Can,"UPAH  T 122- Doll Dist - Des Moines, IA",1,67,23
"Doll Dist - Des Moines, IA",OFF,ROYAL LIQUOR & SMOKE,229 WEST ST,GRINNELL,IA,DOLL2,Rainbow Connection 6/4/12oz Can,"UPAH  T 122- Doll Dist - Des Moines, IA",1,74,16
"Doll Dist - Des Moines, IA",OFF,ROYAL LIQUOR & SMOKE,229 WEST ST,GRINNELL,IA,DOLL2,Lupo 4/6/12oz Can,"UPAH  T 122- Doll Dist - Des Moines, IA",1,39,51
"Doll Dist - Des Moines, IA",OFF,ROYAL LIQUOR & SMOKE,229 WEST ST,GRINNELL,IA,DOLL2,Citrus Surfer Variety Pack 2/12/12oz Can,"UPAH  T 122- Doll Dist - Des Moines, IA",1,60,30
"Doll Dist - Des Moines, IA",OFF,ROYAL LIQUOR & SMOKE,229 WEST ST,GRINNELL,IA,DOLL2,Moon Rabbit 4/6/12oz Can,"UPAH  T 122- Doll Dist - Des Moines, IA",1,60,30
"Doll Dist - Des Moines, IA",OFF,ROYAL LIQUOR & SMOKE,229 WEST ST,GRINNELL,IA,DOLL2,Royal Eddy 4/6/12oz Can,"UPAH  T 122- Doll Dist - Des Moines, IA",1,60,30
"Doll Dist - Des Moines, IA",OFF,ROYAL LIQUOR & SMOKE,229 WEST ST,GRINNELL,IA,DOLL2,Citrus Surfer 4/6/12oz Can,"UPAH  T 122- Doll Dist - Des Moines, IA",1,60,30
"Doll Dist - Des Moines, IA",OFF,ROYAL LIQUOR & SMOKE,229 WEST ST,GRINNELL,IA,DOLL2,Silo Amber 4/6/12oz Can,"UPAH  T 122- Doll Dist - Des Moines, IA",1,53,37
"Doll Dist - Des Moines, IA",OFF,ROYAL LIQUOR & SMOKE,229 WEST ST,GRINNELL,IA,DOLL2,Easy Eddy 4/6/12oz Can,"UPAH  T 122- Doll Dist - Des Moines, IA",1,67,23
"Doll Dist - Des Moines, IA",OFF,ROYAL LIQUOR & SMOKE,229 WEST ST,GRINNELL,IA,DOLL2,Easy Eddy 1/12/19.2 oz Can,"UPAH  T 122- Doll Dist - Des Moines, IA",0.8,88,2
"Doll Dist - Des Moines, IA",OFF,ROYAL LIQUOR & SMOKE,229 WEST ST,GRINNELL,IA,DOLL2,Triple Eddy 4/6/8oz Can,"UPAH  T 122- Doll Dist - Des Moines, IA",0.666667,102,-12
"Doll Dist - Des Moines, IA",OFF,CASEYS #1910,6110 MERLE HAY RD,JOHNSTON,IA,DOLL2,Tigerhawk 2/12/12oz Can,"SCHAFFER  R 655- Doll Dist - Des Moines, IA",10,11,79
"Doll Dist - Des Moines, IA",OFF,CASEYS #1910,6110 MERLE HAY RD,JOHNSTON,IA,DOLL2,Easy Eddy 4/6/12oz Can,"SCHAFFER  R 655- Doll Dist - Des Moines, IA",3,39,51
"Doll Dist - Des Moines, IA",OFF,CASEYS #1910,6110 MERLE HAY RD,JOHNSTON,IA,DOLL2,Royal Eddy 4/6/12oz Can,"SCHAFFER  R 655- Doll Dist - Des Moines, IA",2,53,37
"Doll Dist - Des Moines, IA",OFF,CASEYS #1910,6110 MERLE HAY RD,JOHNSTON,IA,DOLL2,Easy Eddy 2/12/12oz Can,"SCHAFFER  R 655- Doll Dist - Des Moines, IA",2,81,9
"Doll Dist - Des Moines, IA",OFF,CASEYS #1910,6110 MERLE HAY RD,JOHNSTON,IA,DOLL2,Neighborhood Beer 4/6/12oz Can,"SCHAFFER  R 655- Doll Dist - Des Moines, IA",2,4,86
"Doll Dist - Des Moines, IA",OFF,CASEYS #1910,6110 MERLE HAY RD,JOHNSTON,IA,DOLL2,Citrus Surfer 4/6/12oz Can,"SCHAFFER  R 655- Doll Dist - Des Moines, IA",2,18,72
"Doll Dist - Des Moines, IA",OFF,CASEYS #1910,6110 MERLE HAY RD,JOHNSTON,IA,DOLL2,Royal Eddy 1/12/19.2oz Can,"SCHAFFER  R 655- Doll Dist - Des Moines, IA",1.6,74,16
"Doll Dist - Des Moines, IA",OFF,CASEYS #1910,6110 MERLE HAY RD,JOHNSTON,IA,DOLL2,Easy Eddy 1/12/19.2 oz Can,"SCHAFFER  R 655- Doll Dist - Des Moines, IA",0.8,67,23
"Doll Dist - Des Moines, IA",OFF,LOCAL LIQUOR,603 E MAIN ST,PANORA,IA,DOLL2,Easy Eddy 2/12/12oz Can,"BLANK  J 653- Doll Dist - Des Moines, IA",11,5,85
"Doll Dist - Des Moines, IA",OFF,LOCAL LIQUOR,603 E MAIN ST,PANORA,IA,DOLL2,Citrus Surfer 2/12/12oz Can,"BLANK  J 653- Doll Dist - Des Moines, IA",11,5,85
"Doll Dist - Des Moines, IA",OFF,LOCAL LIQUOR,603 E MAIN ST,PANORA,IA,DOLL2,Easy Eddy 6/4/16oz Can,"BLANK  J 653- Doll Dist - Des Moines, IA",1.333333,82,8
"Doll Dist - Des Moines, IA",OFF,QUIKTRIP #517,1451 22ND ST,WEST DES MOINES,IA,DOLL2,Easy Eddy 4/6/12oz Can,"STRAIGHT  J 404- Doll Dist - Des Moines, IA",8,25,65
"Doll Dist - Des Moines, IA",OFF,QUIKTRIP #517,1451 22ND ST,WEST DES MOINES,IA,DOLL2,Citrus Surfer 4/6/12oz Can,"STRAIGHT  J 404- Doll Dist - Des Moines, IA",5,18,72
"Doll Dist - Des Moines, IA",OFF,QUIKTRIP #517,1451 22ND ST,WEST DES MOINES,IA,DOLL2,Easy Eddy 1/12/19.2 oz Can,"STRAIGHT  J 404- Doll Dist - Des Moines, IA",4.8,4,86
"Doll Dist - Des Moines, IA",OFF,QUIKTRIP #517,1451 22ND ST,WEST DES MOINES,IA,DOLL2,Tigerhawk 2/12/12oz Can,"STRAIGHT  J 404- Doll Dist - Des Moines, IA",3,18,72
"Doll Dist - Des Moines, IA",OFF,QUIKTRIP #517,1451 22ND ST,WEST DES MOINES,IA,DOLL2,Citrus Surfer 1/12/19.2oz Can,"STRAIGHT  J 404- Doll Dist - Des Moines, IA",2.4,18,72
"Doll Dist - Des Moines, IA",OFF,CASEYS #3512,301 E TRAIL RIDGE AVE,INDIANOLA,IA,DOLL2,Easy Eddy 4/6/12oz Can,"HIEB  M 406- Doll Dist - Des Moines, IA",9,12,78
"Doll Dist - Des Moines, IA",OFF,CASEYS #3512,301 E TRAIL RIDGE AVE,INDIANOLA,IA,DOLL2,Royal Eddy 1/12/19.2oz Can,"HIEB  M 406- Doll Dist - Des Moines, IA",4,68,22
"Doll Dist - Des Moines, IA",OFF,CASEYS #3512,301 E TRAIL RIDGE AVE,INDIANOLA,IA,DOLL2,Easy Eddy 1/12/19.2 oz Can,"HIEB  M 406- Doll Dist - Des Moines, IA",3.2,54,36
"Doll Dist - Des Moines, IA",OFF,CASEYS #3512,301 E TRAIL RIDGE AVE,INDIANOLA,IA,DOLL2,Citrus Surfer 2/12/12oz Can,"HIEB  M 406- Doll Dist - Des Moines, IA",3,5,85
"Doll Dist - Des Moines, IA",OFF,CASEYS #3512,301 E TRAIL RIDGE AVE,INDIANOLA,IA,DOLL2,Neighborhood Beer 4/6/12oz Can,"HIEB  M 406- Doll Dist - Des Moines, IA",2,19,71
"Doll Dist - Des Moines, IA",OFF,CASEYS #3512,301 E TRAIL RIDGE AVE,INDIANOLA,IA,DOLL2,Citrus Surfer 4/6/12oz Can,"HIEB  M 406- Doll Dist - Des Moines, IA",2,33,57
"Doll Dist - Des Moines, IA",OFF,CASEYS #4314,1118 S DUFF AVE,AMES,IA,DOLL2,Easy Eddy 2/12/12oz Can,"LANG  D 401- Doll Dist - Des Moines, IA",6,11,79
"Doll Dist - Des Moines, IA",OFF,CASEYS #4314,1118 S DUFF AVE,AMES,IA,DOLL2,Royal Eddy 4/6/12oz Can,"LANG  D 401- Doll Dist - Des Moines, IA",4,18,72
"Doll Dist - Des Moines, IA",OFF,CASEYS #4314,1118 S DUFF AVE,AMES,IA,DOLL2,Neighborhood Beer 4/6/12oz Can,"LANG  D 401- Doll Dist - Des Moines, IA",3,11,79
"Doll Dist - Des Moines, IA",OFF,CASEYS #4314,1118 S DUFF AVE,AMES,IA,DOLL2,Easy Eddy 4/6/12oz Can,"LANG  D 401- Doll Dist - Des Moines, IA",3,53,37
"Doll Dist - Des Moines, IA",OFF,CASEYS #4314,1118 S DUFF AVE,AMES,IA,DOLL2,Citrus Surfer 4/6/12oz Can,"LANG  D 401- Doll Dist - Des Moines, IA",2,11,79
"Doll Dist - Des Moines, IA",OFF,CASEYS #4314,1118 S DUFF AVE,AMES,IA,DOLL2,Eddy Variety Pack 2/12/12oz Can,"LANG  D 401- Doll Dist - Des Moines, IA",2,74,16
"Doll Dist - Des Moines, IA",OFF,CASEYS #4314,1118 S DUFF AVE,AMES,IA,DOLL2,Royal Eddy 1/12/19.2oz Can,"LANG  D 401- Doll Dist - Des Moines, IA",1.6,18,72
"Doll Dist - Des Moines, IA",OFF,CASEYS #4314,1118 S DUFF AVE,AMES,IA,DOLL2,Easy Eddy 1/12/19.2 oz Can,"LANG  D 401- Doll Dist - Des Moines, IA",1.6,4,86
"Doll Dist - Des Moines, IA",OFF,HY VEE FAST & FRESH #7591,9150 UNIVERSITY AVE,WEST DES MOINES,IA,DOLL2,Easy Eddy 4/6/12oz Can,"GONTERMAN  I 306- Doll Dist - Des Moines, IA",19,11,79
