,,,,,,,,,No Filters Selected,No Filters Selected,No Filters Selected
Distributors,OnOff Premises,Account Names,Address,City,State,Distributor,Item Names,Dist Routes,2 Quarters 4/1/2026 thru 7/20/2026  Case Equivs,2 Quarters 4/1/2026 thru 7/20/2026  Days Since Last Sale,2 Quarters 4/1/2026 thru 7/20/2026  Days Until Fall Off
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Citrus Surfer Variety Pack 2/12/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",39,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Color TV 1/2 Barrel,"LOGSDON  N 501- Doll Dist - Des Moines, IA",34.444445,82,8
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Squeeze Grapefruit Paloma 6/4/12 oz,"LOGSDON  N 501- Doll Dist - Des Moines, IA",33,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Squeeze Citrus Spritz 6/4/12 oz,"LOGSDON  N 501- Doll Dist - Des Moines, IA",30,15,75
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Citrus Surfer 4/6/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",29,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Summer Jam 6/4/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",28,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Citrus Surfer Lime 4/6/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",24,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Royal Eddy 4/6/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",22,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Wild Eddy 4/6/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",19,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Rainbow Connection 6/4/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",18,33,57
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Sweet Spot Half and Half 6/4/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",17,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Moon Rabbit 4/6/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",16,54,36
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Silo Amber 4/6/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",16,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Triple Eddy 4/6/8oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",12.666667,21,69
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Eddy Variety Pack 2/12/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",11,83,7
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Neighbs 4/6/8oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",10.000001,21,69
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Lupo 4/6/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",10,5,85
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Arms Race Pale Ale 4/6/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",10,40,50
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Sweet Spot Light Hard Iced Tea 6/4/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",9,21,69
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Easy Going 2/12/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",8,33,57
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Strawberry Jam 6/4/12oz can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",7,33,57
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Double Blackberry 6/4/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",7,85,5
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,1939 Amber 4/6/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",6,82,8
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Windbreak Pale Ale 4/6/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",4,61,29
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Easy Going 4/6/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",4,21,69
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Citrus Surfer 1/6 Barrel Keg,"LOGSDON  N 501- Doll Dist - Des Moines, IA",2.293333,54,36
"Doll Dist - Des Moines, IA",ON,BIG GROVE,555 17TH ST,DES MOINES,IA,DOLL2,Burch The Bear 4/6/12oz can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",1,96,-6
"Doll Dist - Des Moines, IA",ON,PRINCIPAL PARK,1 LINE DR,DES MOINES,IA,DOLL2,Easy Eddy 6/4/16oz Can,"DM HOUSE 590- Doll Dist - Des Moines, IA",178.666666,7,83
"Doll Dist - Des Moines, IA",ON,PRINCIPAL PARK,1 LINE DR,DES MOINES,IA,DOLL2,Easy Eddy 1/12/19.2 oz Can,"DM HOUSE 590- Doll Dist - Des Moines, IA",96,14,76
"Doll Dist - Des Moines, IA",ON,PRINCIPAL PARK,1 LINE DR,DES MOINES,IA,DOLL2,Citrus Surfer 1/12/19.2oz Can,"DM HOUSE 590- Doll Dist - Des Moines, IA",67.2,14,76
"Doll Dist - Des Moines, IA",ON,PRINCIPAL PARK,1 LINE DR,DES MOINES,IA,DOLL2,Easy Eddy 1/2 Barrel Keg,"DM HOUSE 590- Doll Dist - Des Moines, IA",62.000001,7,83
"Doll Dist - Des Moines, IA",ON,PRINCIPAL PARK,1 LINE DR,DES MOINES,IA,DOLL2,Citrus Surfer 1/2 Barrel Keg,"DM HOUSE 590- Doll Dist - Des Moines, IA",41.333334,28,62
"Doll Dist - Des Moines, IA",ON,PRINCIPAL PARK,1 LINE DR,DES MOINES,IA,DOLL2,Neighborhood Beer 1/2 Barrel Keg,"DM HOUSE 590- Doll Dist - Des Moines, IA",20.666667,50,40
"Doll Dist - Des Moines, IA",ON,PRINCIPAL PARK,1 LINE DR,DES MOINES,IA,DOLL2,Citrus Surfer Lime 1/2 Barrel Keg,"DM HOUSE 590- Doll Dist - Des Moines, IA",20.666667,50,40
"Doll Dist - Des Moines, IA",ON,PRINCIPAL PARK,1 LINE DR,DES MOINES,IA,DOLL2,Zero Eddy 2/12/12oz Can,"DM HOUSE 590- Doll Dist - Des Moines, IA",11,7,83
"Doll Dist - Des Moines, IA",ON,PRINCIPAL PARK,1 LINE DR,DES MOINES,IA,DOLL2,Neighborhood Beer 6/4/16oz Can,"DM HOUSE 590- Doll Dist - Des Moines, IA",10.666667,28,62
"Doll Dist - Des Moines, IA",ON,DOLL DIST DES MOINES SP #00415,1901 DE WOLF ST,DES MOINES,IA,DOLL2,Easy Eddy 4/6/12oz Can,"MOON  A 101- Doll Dist - Des Moines, IA",173,5,85
"Doll Dist - Des Moines, IA",ON,DOLL DIST DES MOINES SP #00415,1901 DE WOLF ST,DES MOINES,IA,DOLL2,Easy Eddy 1/2 Barrel Keg,"MOON  A 101- Doll Dist - Des Moines, IA",96.444446,21,69
"Doll Dist - Des Moines, IA",ON,DOLL DIST DES MOINES SP #00415,1901 DE WOLF ST,DES MOINES,IA,DOLL2,Citrus Surfer 1/2 Barrel Keg,"MOON  A 101- Doll Dist - Des Moines, IA",55.111112,39,51
"Doll Dist - Des Moines, IA",ON,DOLL DIST DES MOINES SP #00415,1901 DE WOLF ST,DES MOINES,IA,DOLL2,Citrus Surfer 4/6/12oz Can,"MOON  A 101- Doll Dist - Des Moines, IA",47,20,70
"Doll Dist - Des Moines, IA",ON,DOLL DIST DES MOINES SP #00415,1901 DE WOLF ST,DES MOINES,IA,DOLL2,Easy Eddy 6/4/16oz Can,"MOON  A 101- Doll Dist - Des Moines, IA",26.666667,19,71
"Doll Dist - Des Moines, IA",ON,DOLL DIST DES MOINES SP #00415,1901 DE WOLF ST,DES MOINES,IA,DOLL2,Easy Eddy 2/12/12oz Can,"MOON  A 101- Doll Dist - Des Moines, IA",25,6,84
"Doll Dist - Des Moines, IA",ON,DOLL DIST DES MOINES SP #00415,1901 DE WOLF ST,DES MOINES,IA,DOLL2,Citrus Surfer 6/4/16oz Can,"MOON  A 101- Doll Dist - Des Moines, IA",24,19,71
"Doll Dist - Des Moines, IA",ON,DOLL DIST DES MOINES SP #00415,1901 DE WOLF ST,DES MOINES,IA,DOLL2,Neighborhood Beer 6/4/16oz Can,"MOON  A 101- Doll Dist - Des Moines, IA",21.333334,76,14
"Doll Dist - Des Moines, IA",ON,DOLL DIST DES MOINES SP #00415,1901 DE WOLF ST,DES MOINES,IA,DOLL2,Citrus Surfer Lime 1/2 Barrel Keg,"MOON  A 101- Doll Dist - Des Moines, IA",20.666667,5,85
"Doll Dist - Des Moines, IA",ON,DOLL DIST DES MOINES SP #00415,1901 DE WOLF ST,DES MOINES,IA,DOLL2,Summer Jam 1/2 Barrel Keg,"MOON  A 101- Doll Dist - Des Moines, IA",6.888889,40,50
"Doll Dist - Des Moines, IA",ON,DOLL DIST DES MOINES SP #00415,1901 DE WOLF ST,DES MOINES,IA,DOLL2,Citrus Surfer 2/12/12oz Can,"MOON  A 101- Doll Dist - Des Moines, IA",6,6,84
"Doll Dist - Des Moines, IA",ON,DOLL DIST DES MOINES SP #00415,1901 DE WOLF ST,DES MOINES,IA,DOLL2,Easy Eddy 1/6 Barrel Keg,"MOON  A 101- Doll Dist - Des Moines, IA",2.293333,50,40
"Doll Dist - Des Moines, IA",ON,DOLL DIST DES MOINES SP #00415,1901 DE WOLF ST,DES MOINES,IA,DOLL2,Zero Eddy 2/12/12oz Can,"MOON  A 101- Doll Dist - Des Moines, IA",2,6,84
"Doll Dist - Des Moines, IA",ON,AERO SERVICE GROUP,5800 FLEUR DR,DES MOINES,IA,DOLL2,Neighborhood Beer 1/2 Barrel Keg,"LOGSDON  N 501- Doll Dist - Des Moines, IA",303.111116,6,84
"Doll Dist - Des Moines, IA",ON,AERO SERVICE GROUP,5800 FLEUR DR,DES MOINES,IA,DOLL2,Easy Eddy 6/4/16oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",50.666666,6,84
"Doll Dist - Des Moines, IA",ON,AERO SERVICE GROUP,5800 FLEUR DR,DES MOINES,IA,DOLL2,Citrus Surfer 6/4/16oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",33.333333,13,77
"Doll Dist - Des Moines, IA",ON,AERO SERVICE GROUP,5800 FLEUR DR,DES MOINES,IA,DOLL2,Summer Jam 1/6 Barrel Keg,"LOGSDON  N 501- Doll Dist - Des Moines, IA",16.053333,6,84
"Doll Dist - Des Moines, IA",ON,AERO SERVICE GROUP,5800 FLEUR DR,DES MOINES,IA,DOLL2,Zero Eddy 2/12/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",7,20,70
"Doll Dist - Des Moines, IA",ON,IOWA TAPROOM,215 E 3RD ST,DES MOINES,IA,DOLL2,Neighborhood Beer 1/2 Barrel Keg,"SWANSON  J 503- Doll Dist - Des Moines, IA",96.444446,4,86
"Doll Dist - Des Moines, IA",ON,IOWA TAPROOM,215 E 3RD ST,DES MOINES,IA,DOLL2,Easy Eddy 1/2 Barrel Keg,"SWANSON  J 503- Doll Dist - Des Moines, IA",89.555557,7,83
"Doll Dist - Des Moines, IA",ON,IOWA TAPROOM,215 E 3RD ST,DES MOINES,IA,DOLL2,Citrus Surfer 1/6 Barrel Keg,"SWANSON  J 503- Doll Dist - Des Moines, IA",52.746663,4,86
"Doll Dist - Des Moines, IA",ON,IOWA TAPROOM,215 E 3RD ST,DES MOINES,IA,DOLL2,Easy Eddy 1/6 Barrel Keg,"SWANSON  J 503- Doll Dist - Des Moines, IA",29.813331,4,86
"Doll Dist - Des Moines, IA",ON,IOWA TAPROOM,215 E 3RD ST,DES MOINES,IA,DOLL2,Summer Jam 1/2 Barrel Keg,"SWANSON  J 503- Doll Dist - Des Moines, IA",27.555556,14,76
"Doll Dist - Des Moines, IA",ON,IOWA TAPROOM,215 E 3RD ST,DES MOINES,IA,DOLL2,Summer Jam 1/6 Barrel Keg,"SWANSON  J 503- Doll Dist - Des Moines, IA",25.226664,11,79
"Doll Dist - Des Moines, IA",ON,IOWA TAPROOM,215 E 3RD ST,DES MOINES,IA,DOLL2,Silo Amber 1/6 Barrel Keg,"SWANSON  J 503- Doll Dist - Des Moines, IA",18.346668,53,37
"Doll Dist - Des Moines, IA",ON,IOWA TAPROOM,215 E 3RD ST,DES MOINES,IA,DOLL2,Zero Eddy 2/12/12oz Can,"SWANSON  J 503- Doll Dist - Des Moines, IA",11,35,55
"Doll Dist - Des Moines, IA",ON,IOWA TAPROOM,215 E 3RD ST,DES MOINES,IA,DOLL2,Strawberry Jam 1/2 Barrel Keg,"SWANSON  J 503- Doll Dist - Des Moines, IA",6.888889,98,-8
"Doll Dist - Des Moines, IA",ON,IOWA TAPROOM,215 E 3RD ST,DES MOINES,IA,DOLL2,Citrus Surfer 1/2 Barrel Keg,"SWANSON  J 503- Doll Dist - Des Moines, IA",6.888889,39,51
"Doll Dist - Des Moines, IA",ON,IOWA TAPROOM,215 E 3RD ST,DES MOINES,IA,DOLL2,Tigerhawk 1/6 Barrel Keg,"SWANSON  J 503- Doll Dist - Des Moines, IA",4.586666,4,86
"Doll Dist - Des Moines, IA",ON,IOWA TAPROOM,215 E 3RD ST,DES MOINES,IA,DOLL2,Strawberry Jam 1/6 Barrel Keg,"SWANSON  J 503- Doll Dist - Des Moines, IA",2.293333,109,-19
"Doll Dist - Des Moines, IA",ON,IOWA TAPROOM,215 E 3RD ST,DES MOINES,IA,DOLL2,Wild Eddy 1/6 Barrel Keg,"SWANSON  J 503- Doll Dist - Des Moines, IA",2.293333,55,35
"Doll Dist - Des Moines, IA",ON,IOWA TAPROOM,215 E 3RD ST,DES MOINES,IA,DOLL2,Easy Going 1/6 Barrel Keg,"SWANSON  J 503- Doll Dist - Des Moines, IA",2.293333,95,-5
"Doll Dist - Des Moines, IA",ON,50TH STREET TAP,265 50TH ST,WEST DES MOINES,IA,DOLL2,Easy Eddy 1/2 Barrel Keg,"LOGSDON  N 501- Doll Dist - Des Moines, IA",165.333336,5,85
"Doll Dist - Des Moines, IA",ON,50TH STREET TAP,265 50TH ST,WEST DES MOINES,IA,DOLL2,Citrus Surfer 1/2 Barrel Keg,"LOGSDON  N 501- Doll Dist - Des Moines, IA",165.333336,5,85
