,,,,,,,,,,,No Filters Selected,No Filters Selected,No Filters Selected
Dist Companies,OnOff Premises,Chains,Account Names,Address,City,State,Zip Code,Store Num,Last KARMA entry,Item Names,3 Months 5/1/2026 thru 7/16/2026  Case Equivs,3 Months 5/1/2026 thru 7/16/2026  Authorized Item Gaps,3 Months 5/1/2026 thru 7/16/2026  Authorized Acct Gaps
7G Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1437,2400 2ND AVE,MUSCATINE,IA,52761,1437,20260602,Tigerhawk 4/6/16oz Can,12,0,0
7G Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1061,3235 OAKLAND RD NE,CEDAR RAPIDS,IA,52402,1061,20260622,Tigerhawk 2/12/12oz Can,28,0,0
7G Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1061,3235 OAKLAND RD NE,CEDAR RAPIDS,IA,52402,1061,20260622,Tigerhawk 4/6/16oz Can,7.999999,0,0
7G Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1162,400 S LOCUST ST,DUBUQUE,IA,52003,1162,20260428,Tigerhawk 2/12/12oz Can,24,0,0
7G Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1054,1843 JOHNSON AVE NW,CEDAR RAPIDS,IA,52405,1054,20260615,Tigerhawk 2/12/12oz Can,24,0,0
7G Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1054,1843 JOHNSON AVE NW,CEDAR RAPIDS,IA,52405,1054,20260615,Tigerhawk 4/6/16oz Can,5.333332,0,0
7G Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1285,812 S 1ST AVE,IOWA CITY,IA,52245,1285,20260421,Tigerhawk 2/12/12oz Can,24,0,0
7G Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1285,812 S 1ST AVE,IOWA CITY,IA,52245,1285,20260421,Tigerhawk 4/6/16oz Can,2.666666,0,0
7G Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1075,901 S 4TH ST,CLINTON,IA,52732,1075,20260115,Tigerhawk 2/12/12oz Can,24,0,0
7G Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1106,2200 W KIMBERLY RD,DAVENPORT,IA,52806,1106,20260415,Tigerhawk 2/12/12oz Can,17,0,0
7G Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1167,425 E LE CLAIRE RD,ELDRIDGE,IA,52748,1167,20250827,Tigerhawk 2/12/12oz Can,14,0,0
7G Distributing,OFF,CASEYS,CASEYS #2585,1402 9TH ST SE,DYERSVILLE,IA,52040,2585,0,Tigerhawk 2/12/12oz Can,14,0,0
7G Distributing,OFF,CASEYS,CASEYS #3854,1305 W COMMERCIAL ST,MANCHESTER,IA,52057,3854,0,Tigerhawk 2/12/12oz Can,14,0,0
7G Distributing,OFF,CASEYS,CASEYS #3384,1200 S MARKET ST,SOLON,IA,52333,3384,20240221,Tigerhawk 2/12/12oz Can,13,0,0
7G Distributing,OFF,CASEYS,CASEYS #1446,150 E BUSINESS 30,LISBON,IA,52253,1446,0,Tigerhawk 2/12/12oz Can,10,0,0
7G Distributing,OFF,CASEYS,CASEYS #3473,1072 CEDAR CROSS RD,DUBUQUE,IA,52003,3473,0,Tigerhawk 2/12/12oz Can,10,0,0
7G Distributing,OFF,CASEYS,CASEYS #3322,1904 BROADWAY ST,IOWA CITY,IA,52240,3322,20240130,Tigerhawk 2/12/12oz Can,10,0,0
7G Distributing,OFF,CASEYS,CASEYS #2778,201 8TH AVE SE,CEDAR RAPIDS,IA,52401,2778,20240130,Tigerhawk 2/12/12oz Can,10,0,0
7G Distributing,OFF,CASEYS,CASEYS #1599,323 HWY 30 SW,MOUNT VERNON,IA,52314,1599,20250206,Tigerhawk 2/12/12oz Can,10,0,0
7G Distributing,OFF,CASEYS,CASEYS #3077,236 PEOSAT ST,PEOSTA,IA,52068,3077,20250116,Tigerhawk 2/12/12oz Can,10,0,0
7G Distributing,OFF,CASEYS,CASEYS #2629,200 E 1ST ST,RIVERSIDE,IA,52327,2629,0,Tigerhawk 2/12/12oz Can,10,0,0
7G Distributing,OFF,CASEYS,CASEYS #2790,588 BOYSON RD NE STE 110,CEDAR RAPIDS,IA,52402,2790,0,Tigerhawk 2/12/12oz Can,10,0,0
7G Distributing,OFF,CASEYS,CASEYS #4367,2410 MORMON TREK BLVD,IOWA CITY,IA,52246,4367,20240130,Tigerhawk 2/12/12oz Can,10,0,0
7G Distributing,OFF,CASEYS,CASEYS #3561,1532 ELLIS BLVD NW,CEDAR RAPIDS,IA,52405,3561,0,Tigerhawk 2/12/12oz Can,10,0,0
7G Distributing,OFF,CASEYS,CASEYS #2212,130 41ST AVE DR SW,CEDAR RAPIDS,IA,52404,2212,0,Tigerhawk 2/12/12oz Can,10,0,0
7G Distributing,OFF,CASEYS,CASEYS #3756,4560 16TH AVE SW,CEDAR RAPIDS,IA,52404,3756,0,Tigerhawk 2/12/12oz Can,10,0,0
7G Distributing,OFF,CASEYS,CASEYS #2777,65 WILLIAMS BLVD,FAIRFAX,IA,52228,2777,0,Tigerhawk 2/12/12oz Can,10,0,0
7G Distributing,OFF,CASEYS,CASEYS #3382,560 33RD AVE SW,CEDAR RAPIDS,IA,52404,3382,0,Tigerhawk 2/12/12oz Can,10,0,0
7G Distributing,OFF,CASEYS,CASEYS #2773,3625 EDGEWOOD RD SW,CEDAR RAPIDS,IA,52404,2773,0,Tigerhawk 2/12/12oz Can,10,0,0
7G Distributing,OFF,CASEYS,CASEYS #4369,206 E BENTON ST,IOWA CITY,IA,52240,4369,0,Tigerhawk 2/12/12oz Can,10,0,0
7G Distributing,OFF,CASEYS,CASEYS #3294,5350 31ST AVE,URBANA,IA,52345,3294,20240129,Tigerhawk 2/12/12oz Can,10,0,0
