,,,,,,,,,,,No Filters Selected,No Filters Selected,No Filters Selected
Dist Companies,OnOff Premises,Chains,Account Names,Address,City,State,Zip Code,Store Num,Last KARMA entry,Item Names,3 Months 5/1/2026 thru 7/16/2026  Case Equivs,3 Months 5/1/2026 thru 7/16/2026  Authorized Item Gaps,3 Months 5/1/2026 thru 7/16/2026  Authorized Acct Gaps
7G Distributing,OFF,INDEPENDENTS,IOWA SMOKE & LIQUOR,70 KIRKWOOD CT SW,CEDAR RAPIDS,IA,52404,,0,Tigerhawk 2/12/12oz Can,3,0,0
7G Distributing,OFF,INDEPENDENTS,ELDRIDGE MART,209 E LE CLAIRE RD,ELDRIDGE,IA,52748,,0,Tigerhawk 2/12/12oz Can,3,0,0
7G Distributing,OFF,INDEPENDENTS,ELDRIDGE MART,209 E LE CLAIRE RD,ELDRIDGE,IA,52748,,0,Tigerhawk 4/6/16oz Can,1.333333,0,0
7G Distributing,OFF,INDEPENDENTS,THE CROWN LIQUOR,324 E WASHINGTON ST,IOWA CITY,IA,52240,,0,Tigerhawk 2/12/12oz Can,3,0,0
7G Distributing,OFF,INDEPENDENTS,RJZ EXPRESS,110 S MARKET ST,SOLON,IA,52333,,0,Tigerhawk 2/12/12oz Can,3,0,0
7G Distributing,OFF,INDEPENDENTS,OTTER CREEK COUNTRY STORE,3445 COUNTY HOME RD,ROBINS,IA,52411,,0,Tigerhawk 4/6/16oz Can,2.666667,0,0
7G Distributing,OFF,INDEPENDENTS,J&D HANDI MART,6835 COLUMBUS ST,NEW VIENNA,IA,52065,,0,Tigerhawk 4/6/16oz Can,2.666666,0,0
7G Distributing,OFF,INDEPENDENTS,CULTIVATE HOPE CORNER STORE,604 ELLIS BL NW,CEDAR RAPIDS,IA,52405,,0,Tigerhawk 4/6/16oz Can,2.666666,0,0
7G Distributing,OFF,INDEPENDENTS,CORNER MART,998 8TH AVE,MARION,IA,52302,,0,Tigerhawk 4/6/16oz Can,2.666666,0,0
7G Distributing,OFF,INDEPENDENTS,THE STATION,3645 STONE CREEK CIR SW,CEDAR RAPIDS,IA,52404,,0,Tigerhawk 4/6/16oz Can,2.666666,0,0
7G Distributing,OFF,INDEPENDENTS,DEPOT OXFORD,220 N AUGUSTA AVE,OXFORD,IA,52322,,0,Tigerhawk 2/12/12oz Can,2,0,0
7G Distributing,OFF,INDEPENDENTS,POINT LIQUOR & TOBACCO,3221 CENTER POINT RD NE,CEDAR RAPIDS,IA,52402,,0,Tigerhawk 2/12/12oz Can,2,0,0
7G Distributing,OFF,INDEPENDENTS,SIDS BEVERAGE STORE,2727 DODGE ST,DUBUQUE,IA,52003,,20240314,Tigerhawk 2/12/12oz Can,2,0,0
7G Distributing,OFF,INDEPENDENTS,STATE FOOD MART,3715 STATE ST,BETTENDORF,IA,52722,,0,Tigerhawk 2/12/12oz Can,2,0,0
7G Distributing,OFF,INDEPENDENTS,PARKSIDE LIQUOR,1111 PARKSIDE ST STE 101,TIFFIN,IA,52340,,0,Tigerhawk 2/12/12oz Can,2,0,0
7G Distributing,OFF,INDEPENDENTS,SUNDSTOP,400 JACKSON ST,OLIN,IA,52320,,0,Tigerhawk 2/12/12oz Can,2,0,0
7G Distributing,OFF,INDEPENDENTS,LIQUOR DOWNTOWN,315 S GILBERT ST,IOWA CITY,IA,52240,,0,Tigerhawk 2/12/12oz Can,2,0,0
7G Distributing,OFF,INDEPENDENTS,CENTERPOINT FOODS,800 FORD LANE,CENTER POINT,IA,52213,,0,Tigerhawk 2/12/12oz Can,2,0,0
7G Distributing,OFF,INDEPENDENTS,7 STAR LIQUOR & TOBACCO OUTLET,502 E AVE NW,CEDAR RAPIDS,IA,52405,,0,Tigerhawk 4/6/16oz Can,1.333333,0,0
7G Distributing,OFF,INDEPENDENTS,UTICA LIQUOR BARN,3030 UTICA RIDGE RD,DAVENPORT,IA,52803,,0,Tigerhawk 4/6/16oz Can,1.333333,0,0
7G Distributing,OFF,INDEPENDENTS,HAWKEYE LIQUOR,601 HOLLYWOOD BLVD STE 1,IOWA CITY,IA,52240,,0,Tigerhawk 4/6/16oz Can,1.333333,0,0
7G Distributing,OFF,INDEPENDENTS,JIMS FOODS,812 6TH ST SW,CEDAR RAPIDS,IA,52404,,0,Tigerhawk 4/6/16oz Can,1.333333,0,0
7G Distributing,OFF,INDEPENDENTS,JIMS FOODS,812 6TH ST SW,CEDAR RAPIDS,IA,52404,,0,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,OFF,INDEPENDENTS,THE LIQUOR STORE,211 W 53RD ST,DAVENPORT,IA,52806,,0,Tigerhawk 4/6/16oz Can,1.333333,0,0
7G Distributing,OFF,INDEPENDENTS,SUPER STOP MART #4,535 HILL ST STE A,DUBUQUE,IA,52001,4,0,Tigerhawk 4/6/16oz Can,1.333333,0,0
7G Distributing,OFF,INDEPENDENTS,NEW PIONEER FOOD CO OP,1101 2ND ST,CORALVILLE,IA,52241,,20260213,Tigerhawk 4/6/16oz Can,1.333333,0,0
7G Distributing,OFF,INDEPENDENTS,NEW PIONEER FOOD CO OP,1101 2ND ST,CORALVILLE,IA,52241,,20260213,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,OFF,INDEPENDENTS,KIRKWOOD LIQUOR AND TOBACCO,300 KIRKWOOD AVE,IOWA CITY,IA,52240,,0,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,OFF,INDEPENDENTS,SUNDSTOP #4,902 LOMBARD ST,CLARENCE,IA,52216,4,0,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,OFF,INDEPENDENTS,FAMOUS LIQUOR,2604 W LOCUST ST,DAVENPORT,IA,52804,,0,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,OFF,INDEPENDENTS,HOMETOWN MARKET,9 SOUTH AVE,CENTRAL CITY,IA,52214,,0,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,OFF,INDEPENDENTS,BUDDHAS ONE STOP,1118 HWY 30,STANWOOD,IA,52337,,0,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,OFF,INDEPENDENTS,EZ STOP,1101 RHOMBERG AVE,DUBUQUE,IA,52001,,0,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,OFF,INDEPENDENTS,DISCOUNT LIQUOR,2933 1ST AVE NE,CEDAR RAPIDS,IA,52402,,0,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,OFF,INDEPENDENTS,UPTOWN LIQUOR & TOBACCO,2000 WILEY BLVD SW STE 106,CEDAR RAPIDS,IA,52404,,0,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,OFF,INDEPENDENTS,BIG DISCOUNT LIQUOR,5427 CENTER POINT RD NE,CEDAR RAPIDS,IA,52402,,0,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,OFF,INDEPENDENTS,ESSENTIALS,1500 1ST AVE NE,CEDAR RAPIDS,IA,52402,,0,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,OFF,INDEPENDENTS,CLINTON LIQUOR STORE,1641 S BLUFF BLVD,CLINTON,IA,52732,,0,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,OFF,FAREWAY,FAREWAY #987,1635 W 53RD ST,DAVENPORT,IA,52806,987,20240411,Tigerhawk 2/12/12oz Can,27,0,0
7G Distributing,OFF,FAREWAY,FAREWAY #987,1635 W 53RD ST,DAVENPORT,IA,52806,987,20240411,Tigerhawk 4/6/16oz Can,20,0,0
7G Distributing,OFF,FAREWAY,FAREWAY #963,4220 16TH AVE SW,CEDAR RAPIDS,IA,52404,963,20241126,Tigerhawk 2/12/12oz Can,25,0,0
7G Distributing,OFF,FAREWAY,FAREWAY #949,3300 10TH AVE,MARION,IA,52302,949,20241126,Tigerhawk 1/24/12oz Can,25,0,0
7G Distributing,OFF,FAREWAY,FAREWAY #949,3300 10TH AVE,MARION,IA,52302,949,20241126,Tigerhawk 2/12/12oz Can,7,0,0
7G Distributing,OFF,FAREWAY,FAREWAY #950,2530 WESTWINDS DR,IOWA CITY,IA,52246,950,0,Tigerhawk 2/12/12oz Can,21,0,0
7G Distributing,OFF,FAREWAY,FAREWAY #25,1350 11TH ST NW,CLINTON,IA,52732,25,0,Tigerhawk 2/12/12oz Can,17,0,0
7G Distributing,OFF,FAREWAY,FAREWAY #25,1350 11TH ST NW,CLINTON,IA,52732,25,0,Tigerhawk 4/6/16oz Can,2.666666,0,0
7G Distributing,OFF,FAREWAY,FAREWAY #55,885 EDGEWOOD RD,HIAWATHA,IA,52233,55,20241126,Tigerhawk 2/12/12oz Can,17,0,0
7G Distributing,OFF,FAREWAY,FAREWAY #993,615 WESTWOOD DR,NORTH LIBERTY,IA,52317,993,0,Tigerhawk 2/12/12oz Can,12,0,0
7G Distributing,OFF,FAREWAY,FAREWAY #257,930 COMMERCIAL ST,LISBON,IA,52253,257,20251230,Tigerhawk 2/12/12oz Can,11,0,0
7G Distributing,OFF,FAREWAY,FAREWAY #44,3800 BELMONT RD,BETTENDORF,IA,52722,44,20250310,Tigerhawk 2/12/12oz Can,9,0,0
7G Distributing,OFF,FAREWAY,FAREWAY #193,500 CROELL AVE,TIFFIN,IA,52340,193,0,Tigerhawk 2/12/12oz Can,9,0,0
7G Distributing,OFF,FAREWAY,FAREWAY #34,2765 COMMERCE DR,IOWA CITY,IA,52240,34,20221128,Tigerhawk 2/12/12oz Can,8,0,0
7G Distributing,OFF,FAREWAY,FAREWAY #008,1207 12TH AVE SE,DYERSVILLE,IA,52040,"=""008""",0,Tigerhawk 2/12/12oz Can,8,0,0
7G Distributing,OFF,FAREWAY,FAREWAY #008,1207 12TH AVE SE,DYERSVILLE,IA,52040,"=""008""",0,Tigerhawk 4/6/16oz Can,2.666667,0,0
7G Distributing,OFF,FAREWAY,FAREWAY #639,110 WEST GATE DR,MAQUOKETA,IA,52060,639,0,Tigerhawk 2/12/12oz Can,7,0,0
7G Distributing,OFF,FAREWAY,FAREWAY #639,110 WEST GATE DR,MAQUOKETA,IA,52060,639,0,Tigerhawk 4/6/16oz Can,6.666666,0,0
7G Distributing,OFF,FAREWAY,FAREWAY #237,1301 EAGLE RIDGE RD,LE CLAIRE,IA,52753,237,20250207,Tigerhawk 2/12/12oz Can,7,0,0
7G Distributing,OFF,FAREWAY,FAREWAY #151,3717 1ST AVE SE,CEDAR RAPIDS,IA,52402,151,20241029,Tigerhawk 2/12/12oz Can,7,0,0
7G Distributing,OFF,FAREWAY,FAREWAY #594,109 E MARION ST,MANCHESTER,IA,52057,594,20260407,Tigerhawk 2/12/12oz Can,7,0,0
7G Distributing,OFF,FAREWAY,FAREWAY #114,2050 JOHN F KENNEDY RD,DUBUQUE,IA,52002,114,20240404,Tigerhawk 2/12/12oz Can,7,0,0
7G Distributing,OFF,FAREWAY,FAREWAY #166,402 E MAIN ST,ANAMOSA,IA,52205,166,0,Tigerhawk 2/12/12oz Can,4,0,0
7G Distributing,OFF,FAREWAY,FAREWAY #840,433 N FARLEY ST,MONTICELLO,IA,52310,840,20250103,Tigerhawk 2/12/12oz Can,4,0,0
7G Distributing,OFF,HY VEE DRUGSTORE,HY VEE DRUGSTORE #7042,310 N 1ST AVE,IOWA CITY,IA,52245,7042,20260421,Tigerhawk 2/12/12oz Can,100,0,0
7G Distributing,OFF,HY VEE DRUGSTORE,HY VEE DRUGSTORE #7042,310 N 1ST AVE,IOWA CITY,IA,52245,7042,20260421,Tigerhawk 4/6/16oz Can,4,0,0
7G Distributing,OFF,HY VEE DRUGSTORE,HY VEE DRUGSTORE #7026,2001 BLAIRS FERRY RD NE,CEDAR RAPIDS,IA,52402,7026,20260622,Tigerhawk 2/12/12oz Can,28,0,0
7G Distributing,OFF,HY VEE DRUGSTORE,HY VEE DRUGSTORE #7026,2001 BLAIRS FERRY RD NE,CEDAR RAPIDS,IA,52402,7026,20260622,Tigerhawk 4/6/16oz Can,4,0,0
7G Distributing,OFF,HY VEE DRUGSTORE,HY VEE DRUGSTORE #7019,505 BOYSON RD NE,CEDAR RAPIDS,IA,52402,7019,20260209,Tigerhawk 2/12/12oz Can,17,0,0
7G Distributing,OFF,HY VEE DRUGSTORE,HY VEE DRUGSTORE #7019,505 BOYSON RD NE,CEDAR RAPIDS,IA,52402,7019,20260209,Tigerhawk 4/6/16oz Can,9.333333,0,0
7G Distributing,OFF,HY VEE DRUGSTORE,HY VEE DRUGSTORE #7020,1520 6TH ST SW,CEDAR RAPIDS,IA,52404,7020,20241119,Tigerhawk 2/12/12oz Can,14,0,0
7G Distributing,OFF,HY VEE DRUGSTORE,HY VEE DRUGSTORE #7025,4825 JOHNSON AVE NW,CEDAR RAPIDS,IA,52405,7025,20240722,Tigerhawk 2/12/12oz Can,7,0,0
7G Distributing,OFF,HY VEE FAST & FRESH,HY VEE FAST & FRESH #1037,3470 MIDDLE RD,BETTENDORF,IA,52722,1037,0,Tigerhawk 4/6/16oz Can,22.666667,0,0
7G Distributing,OFF,HY VEE FAST & FRESH,HY VEE FAST & FRESH #1037,3470 MIDDLE RD,BETTENDORF,IA,52722,1037,0,Tigerhawk 2/12/12oz Can,10,0,0
7G Distributing,OFF,HY VEE FAST & FRESH,HY VEE FAST & FRESH #7560,2790 7TH AVE,MARION,IA,52302,7560,20240829,Tigerhawk 2/12/12oz Can,7,0,0
7G Distributing,OFF,HY VEE FAST & FRESH,HY VEE FAST & FRESH #7560,2790 7TH AVE,MARION,IA,52302,7560,20240829,Tigerhawk 4/6/16oz Can,1.333333,0,0
7G Distributing,OFF,HY VEE FAST & FRESH,HY VEE FAST & FRESH #1085,3290 CROSSPARK RD,CORALVILLE,IA,52241,1085,0,Tigerhawk 4/6/16oz Can,4,0,0
7G Distributing,OFF,HY VEE FAST & FRESH,HY VEE FAST & FRESH #1064,3935 BLAIRS FERRY RD,CEDAR RAPIDS,IA,52402,1064,0,Tigerhawk 4/6/16oz Can,3.999999,0,0
7G Distributing,OFF,HY VEE FAST & FRESH,HY VEE FAST & FRESH #1288,1103 N DODGE ST,IOWA CITY,IA,52245,1288,0,Tigerhawk 2/12/12oz Can,3,0,0
7G Distributing,OFF,HY VEE FAST & FRESH,HY VEE FAST & FRESH #1061,1440 32ND ST NE,CEDAR RAPIDS,IA,52402,1061,0,Tigerhawk 4/6/16oz Can,2.666666,0,0
7G Distributing,OFF,HY VEE FAST & FRESH,HY VEE FAST & FRESH #1080,2025 2ND ST,CORALVILLE,IA,52241,1080,0,Tigerhawk 4/6/16oz Can,2.666666,0,0
7G Distributing,OFF,HY VEE FAST & FRESH,HY VEE FAST & FRESH #1056,2300 BOWLING ST SW,CEDAR RAPIDS,IA,52404,1056,0,Tigerhawk 4/6/16oz Can,1.333333,0,0
7G Distributing,OFF,HY VEE FAST & FRESH,HY VEE FAST & FRESH #1159,3270 DODGE ST,DUBUQUE,IA,52003,1159,0,Tigerhawk 4/6/16oz Can,1.333333,0,0
7G Distributing,OFF,HY VEE FAST & FRESH,HY VEE FAST & FRESH #1437,2600 2ND AVE,MUSCATINE,IA,52761,1437,0,Tigerhawk 4/6/16oz Can,1.333333,0,0
7G Distributing,OFF,HY VEE DOLLAR FRESH,HY VEE DOLLAR FRESH #1163,1201 12TH AVE SE,DYERSVILLE,IA,52040,1163,20251218,Tigerhawk 2/12/12oz Can,25,0,0
7G Distributing,OFF,HY VEE DOLLAR FRESH,HY VEE DOLLAR FRESH #1163,1201 12TH AVE SE,DYERSVILLE,IA,52040,1163,20251218,Tigerhawk 4/6/16oz Can,5.333333,0,0
7G Distributing,OFF,HY VEE DOLLAR FRESH,HY VEE DOLLAR FRESH #1404,1080 W MAIN ST,MANCHESTER,IA,52057,1404,0,Tigerhawk 2/12/12oz Can,7,0,0
7G Distributing,OFF,HY VEE DOLLAR FRESH,HY VEE DOLLAR FRESH #1404,1080 W MAIN ST,MANCHESTER,IA,52057,1404,0,Tigerhawk 4/6/16oz Can,2.666667,0,0
7G Distributing,OFF,KWIK STAR,KWIK STAR #1927,1290 S DUBUQUE ST,NORTH LIBERTY,IA,52317,1927,0,Tigerhawk 2/12/12oz Can,10,0,0
7G Distributing,OFF,KWIK STAR,KWIK STAR #1213,1810 DIAMOND BLVD,NORTH LIBERTY,IA,52317,1213,0,Tigerhawk 2/12/12oz Can,7,0,0
7G Distributing,OFF,KWIK STAR,KWIK STAR #1142,1907 KEOKUK ST,IOWA CITY,IA,52240,1142,0,Tigerhawk 2/12/12oz Can,6,0,0
7G Distributing,OFF,KWIK STAR,KWIK STAR #1142,1907 KEOKUK ST,IOWA CITY,IA,52240,1142,0,Tigerhawk 4/6/16oz Can,1.333333,0,0
7G Distributing,OFF,KWIK STAR,KWIK STAR #1918,401 W VILLAGE DR,TIFFIN,IA,52340,1918,0,Tigerhawk 2/12/12oz Can,2,0,0
7G Distributing,OFF,HY VEE WINE & SPIRITS,HY VEE WINE & SPIRITS #7060,522 MULBERRY AVE STE A,MUSCATINE,IA,52761,7060,20260317,Tigerhawk 2/12/12oz Can,13,0,0
7G Distributing,OFF,HY VEE WINE & SPIRITS,HY VEE WINE & SPIRITS #7060,522 MULBERRY AVE STE A,MUSCATINE,IA,52761,7060,20260317,Tigerhawk 4/6/16oz Can,5.333333,0,0
7G Distributing,OFF,HARTIG DRUG,HARTIG DRUG #3,2255 JOHN F KENNEDY RD STE 13,DUBUQUE,IA,52002,3,0,Tigerhawk 2/12/12oz Can,7,0,0
7G Distributing,OFF,HARTIG DRUG,HARTIG DRUG #10,701 MORMON TREK BLVD,IOWA CITY,IA,52246,10,0,Tigerhawk 2/12/12oz Can,6,0,0
7G Distributing,OFF,HARTIG DRUG,HARTIG DRUG #10,701 MORMON TREK BLVD,IOWA CITY,IA,52246,10,0,Tigerhawk 4/6/16oz Can,1.333333,0,0
7G Distributing,OFF,HARTIG DRUG,HARTIG DRUG #6,711 16TH AVE SE,DYERSVILLE,IA,52040,6,0,Tigerhawk 4/6/16oz Can,1.333333,0,0
7G Distributing,OFF,HARTIG DRUG,HARTIG DRUG #6,711 16TH AVE SE,DYERSVILLE,IA,52040,6,0,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,OFF,HARTIG DRUG,HARTIG DRUG #2,157 LOCUST ST,DUBUQUE,IA,52001,2,0,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,OFF,SMOKIN JOES TOBACCO & LIQUOR O,SMOKIN JOES TOBACCO & L #14,225 EDGEWOOD RD NW,CEDAR RAPIDS,IA,52405,14,0,Tigerhawk 4/6/16oz Can,2.666666,0,0
7G Distributing,OFF,SMOKIN JOES TOBACCO & LIQUOR O,SMOKIN JOES TOBACCO & L #15,455 EDGEWOOD RD NW,CEDAR RAPIDS,IA,52405,15,0,Tigerhawk 4/6/16oz Can,2.666666,0,0
7G Distributing,OFF,SMOKIN JOES TOBACCO & LIQUOR O,SMOKIN JOES TOBACCO & L #7,904 1ST AVE NW,CEDAR RAPIDS,IA,52405,7,0,Tigerhawk 4/6/16oz Can,2.666666,0,0
7G Distributing,OFF,SMOKIN JOES TOBACCO & LIQUOR O,SMOKIN JOES TOBACCO & L #10,480 7TH AVE,MARION,IA,52302,10,0,Tigerhawk 4/6/16oz Can,1.333333,0,0
7G Distributing,OFF,SMOKIN JOES TOBACCO & LIQUOR O,SMOKIN JOES TOBACCO & L #13,2315 MOUNT VERNON RD SE,CEDAR RAPIDS,IA,52403,13,0,Tigerhawk 4/6/16oz Can,1.333333,0,0
7G Distributing,OFF,KWIK STOP,KWIK STOP #325,1210 E 16TH ST,DUBUQUE,IA,52001,325,0,Tigerhawk 2/12/12oz Can,3,0,0
7G Distributing,OFF,KWIK STOP,KWIK STOP #76,2320 GATEWAY DR,DUBUQUE,IA,52003,76,0,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,OFF,PIONEER SUPERMARKET,PIONEER SUPERMARKET,3338 CENTER POINT RD NE,CEDAR RAPIDS,IA,52402,,20240408,Tigerhawk 2/12/12oz Can,4,0,0
7G Distributing,OFF,WINESTYLES,WINESTYLES,4201 42ND ST NE STE 170,CEDAR RAPIDS,IA,52402,,20240903,Tigerhawk 1/6 Barrel Keg,2.293333,0,0
7G Distributing,OFF,BP SHOP,BP SHOP,122 DEVOE ST S,LONE TREE,IA,52755,,0,Tigerhawk 2/12/12oz Can,2,0,0
7G Distributing,OFF,EAGLE FOOD CENTER,EAGLE FOOD CENTER #147,1800 ELM ST,DUBUQUE,IA,52001,147,0,Tigerhawk 2/12/12oz Can,2,0,0
7G Distributing,OFF,BIG 10 MART,BIG 10 MART #19,1225 BOYSON RD,HIAWATHA,IA,52233,19,0,Tigerhawk 2/12/12oz Can,2,0,0
7G Distributing,ON,INDEPENDENTS,BIG GROVE BREWERY & TAPROOM,1225 S GILBERT ST,IOWA CITY,IA,52240,,20250407,Tigerhawk 1/2 Barrel Keg,296.222222,0,0
7G Distributing,ON,INDEPENDENTS,BIG GROVE BREWERY & TAPROOM,1225 S GILBERT ST,IOWA CITY,IA,52240,,20250407,Tigerhawk 2/12/12oz Can,168,0,0
7G Distributing,ON,INDEPENDENTS,BIG GROVE BREWERY & TAPROOM,1225 S GILBERT ST,IOWA CITY,IA,52240,,20250407,Tigerhawk 1/24/12oz Can,70,0,0
7G Distributing,ON,INDEPENDENTS,BIG GROVE BREWERY & TAPROOM,1225 S GILBERT ST,IOWA CITY,IA,52240,,20250407,Tigerhawk 4/6/16oz Can,26.666667,0,0
7G Distributing,ON,INDEPENDENTS,BIG GROVE BREWERY,170 1ST ST SW,CEDAR RAPIDS,IA,52404,,20250331,Tigerhawk 1/2 Barrel Keg,234.222223,0,0
7G Distributing,ON,INDEPENDENTS,BIG GROVE BREWERY,170 1ST ST SW,CEDAR RAPIDS,IA,52404,,20250331,Tigerhawk 2/12/12oz Can,78,0,0
7G Distributing,ON,INDEPENDENTS,BIG GROVE BREWERY,101 W MAIN ST,SOLON,IA,52333,,20260202,Tigerhawk 1/2 Barrel Keg,110.222224,0,0
7G Distributing,ON,INDEPENDENTS,BIG GROVE BREWERY,101 W MAIN ST,SOLON,IA,52333,,20260202,Tigerhawk 2/12/12oz Can,72,0,0
7G Distributing,ON,INDEPENDENTS,BO JAMES SALOON,118 E WASHINGTON ST,IOWA CITY,IA,52240,,0,Tigerhawk 4/6/16oz Can,40,0,0
7G Distributing,ON,INDEPENDENTS,30 HOP,951 BLAIRS FERRY RD NE,CEDAR RAPIDS,IA,52402,,20260623,Tigerhawk 1/2 Barrel Keg,27.555556,0,0
7G Distributing,ON,INDEPENDENTS,WHISKEY RIVER GRILL,2882 PALO MARSH RD,PALO,IA,52324,,20260623,Tigerhawk 1/2 Barrel Keg,20.666667,0,0
7G Distributing,ON,INDEPENDENTS,PAT & FRANS IRISH PUB,808 5TH ST STE 8,CORALVILLE,IA,52241,,20260204,Tigerhawk 1/2 Barrel Keg,20.666667,0,0
7G Distributing,ON,INDEPENDENTS,30 HOP,900 E 2ND AVE,CORALVILLE,IA,52241,,20260615,Tigerhawk 1/2 Barrel Keg,20.666667,0,0
7G Distributing,ON,INDEPENDENTS,REDS ALEHOUSE,405 N DUBUQUE ST,NORTH LIBERTY,IA,52317,,20260625,Tigerhawk 1/2 Barrel Keg,20.666667,0,0
7G Distributing,ON,INDEPENDENTS,CLUB 76,2349 MEHAFFEY BRIDGE NE RD,NORTH LIBERTY,IA,52317,,20240618,Tigerhawk 4/6/16oz Can,20,0,0
7G Distributing,ON,INDEPENDENTS,JOES PLACE,115 IOWA AVE,IOWA CITY,IA,52240,,20260219,Tigerhawk 4/6/16oz Can,20,0,0
7G Distributing,ON,INDEPENDENTS,TIN ROOST,840 W PENN ST,NORTH LIBERTY,IA,52317,,20260205,Tigerhawk 1/2 Barrel Keg,13.777778,0,0
7G Distributing,ON,INDEPENDENTS,MICKYS IRISH PUB,720 PACHA PKWY STE 8,NORTH LIBERTY,IA,52317,,20260204,Tigerhawk 1/2 Barrel Keg,13.777778,0,0
7G Distributing,ON,INDEPENDENTS,SCOUTS HONOR,219 IOWA AVE STE A,IOWA CITY,IA,52240,,20251218,Tigerhawk 1/2 Barrel Keg,13.777778,0,0
7G Distributing,ON,INDEPENDENTS,VINE TAVERN IOWA CITY,330 E PRENTISS ST,IOWA CITY,IA,52240,,20260219,Tigerhawk 1/2 Barrel Keg,13.777778,0,0
7G Distributing,ON,INDEPENDENTS,PUBLIC HOUSE,5260 NORTHWEST BLVD,DAVENPORT,IA,52806,,20241002,Tigerhawk 1/2 Barrel Keg,13.777778,0,0
7G Distributing,ON,INDEPENDENTS,GARY DOLPHINS IRON BAR,333 E 10TH ST,DUBUQUE,IA,52001,,0,Tigerhawk 2/12/12oz Can,13,0,0
7G Distributing,ON,INDEPENDENTS,WILDCAT GOLF COURSE,100 WILDCAT TRAIL,SHELLSBURG,IA,52332,,20260324,Tigerhawk 4/6/16oz Can,9.333334,0,0
7G Distributing,ON,INDEPENDENTS,WILDCAT GOLF COURSE,100 WILDCAT TRAIL,SHELLSBURG,IA,52332,,20260324,Tigerhawk 1/6 Barrel Keg,2.293333,0,0
7G Distributing,ON,INDEPENDENTS,SPORTS COLUMN,12 S DUBUQUE ST,IOWA CITY,IA,52240,,20230109,Tigerhawk 4/6/16oz Can,9.333333,0,0
7G Distributing,ON,INDEPENDENTS,FILLING STATION DAVENPO,305 E 35TH ST,DAVENPORT,IA,52806,,20240807,Tigerhawk 1/6 Barrel Keg,9.173333,0,0
7G Distributing,ON,INDEPENDENTS,PREGAME BREW & CHEW,588 BOYSON RD NE #124,CEDAR RAPIDS,IA,52403,,20260602,Tigerhawk 1/6 Barrel Keg,9.173332,0,0
7G Distributing,ON,INDEPENDENTS,7G DISTRIBUTING INC SP #00385,9925 6TH ST SW,CEDAR RAPIDS,IA,52404,"=""00385""",0,Tigerhawk 2/12/12oz Can,9,0,0
7G Distributing,ON,INDEPENDENTS,WALKER HOMESTEAD,3867 JAMES AVE SW,IOWA CITY,IA,52246,,0,Tigerhawk 2/12/12oz Can,9,0,0
7G Distributing,ON,INDEPENDENTS,WALKER HOMESTEAD,3867 JAMES AVE SW,IOWA CITY,IA,52246,,0,Tigerhawk 1/24/12oz Can,4,0,0
7G Distributing,ON,INDEPENDENTS,WAPSI OAKS COUNTRY CLUB,1594 HWY 30,CALAMUS,IA,52729,,0,Tigerhawk 2/12/12oz Can,8,0,0
7G Distributing,ON,INDEPENDENTS,MUSCATINE COUNTY FAIRGRD,101 CLAY ST,WEST LIBERTY,IA,52776,,20250718,Tigerhawk 2/12/12oz Can,7,0,0
7G Distributing,ON,INDEPENDENTS,SADDLEBACK RIDGE GOLF,4646 180TH ST NE,SOLON,IA,52333,,0,Tigerhawk 2/12/12oz Can,7,0,0
7G Distributing,ON,INDEPENDENTS,THE RIDGE,4750 UTICA RIDGE RD STE 5,DAVENPORT,IA,52807,,20260508,Tigerhawk 1/2 Barrel Keg,6.888889,0,0
7G Distributing,ON,INDEPENDENTS,KINGSTONS STEAK HOUSE,568 BOYSON RD NE STE 100,CEDAR RAPIDS,IA,52402,,20260623,Tigerhawk 1/2 Barrel Keg,6.888889,0,0
7G Distributing,ON,INDEPENDENTS,OAK GROVE TAVERN,4371 53RD AVE,BETTENDORF,IA,52722,,20250730,Tigerhawk 1/2 Barrel Keg,6.888889,0,0
7G Distributing,ON,INDEPENDENTS,THE LEADERBOARD,680 MEADE DR,NORTH LIBERTY,IA,52317,,20250312,Tigerhawk 1/2 Barrel Keg,6.888889,0,0
7G Distributing,ON,INDEPENDENTS,ODDMAMA S VINTAGE CAFE,1201 3RD ST SE,CEDAR RAPIDS,IA,52401,,20260630,Tigerhawk 1/2 Barrel Keg,6.888889,0,0
