Distributors,Brands,Item Names,Draft/Package,Current On Hand in Case Equivs,Projected Daily Rate of Sales,Projected Days on Hand,90 Days 4/23/2026 thru 7/21/2026 Case Equivs,90 Days 4/23/2025 thru 7/21/2025 Case Equivs,Pct,90 Days  7/22/2025 thru 10/19/2025 Case Equivs,Projected 90 Days Sales Case Equivs,Projected Order in Case Equivs,Last Sale Date
"Doll Dist - Des Moines, IA",Tigerhawk,Tigerhawk 4/6/16oz Can,PACKAGE,62.667,2.577777588889,24.3105,231.999983,0,--,0,0,-382.667,07/20/2026
"Doll Dist - Des Moines, IA",Tigerhawk,Tigerhawk 1/6 Barrel Keg,DRAFT,43.573,0.535111033333,81.428,48.159993,0,--,0,0,-89.44,07/17/2026
"Doll Dist - Des Moines, IA",Citrus Surfer Variety Pac,Citrus Surfer Variety Pack 2/12/12oz Can,PACKAGE,590,3.263175965663,180.8055,486,1165,-0.582832618026,704,293.685836909696,-296.314163090304,07/17/2026
"Doll Dist - Des Moines, IA",Citrus Surfer Variety Pac,Citrus Surfer Variety Pack 2/12/12oz Can,PACKAGE,200,5.555555555556,36,500,0,--,0,0,-300,07/15/2026
"Doll Dist - Des Moines, IA",Citrus Surfer Lime,Citrus Surfer Lime 4/6/12oz Can,PACKAGE,371,1.707958864295,217.2183,241,497,-0.51509054326,317,153.71629778658,-217.28370221342,07/20/2026
"Doll Dist - Des Moines, IA",Citrus Surfer Lime,Citrus Surfer Lime 1/2 Barrel Keg,DRAFT,137.778,5.146058981293,26.7735,475.333341,537.333339,-0.115384610446,523.555563,463.145308316409,-60.410691683591,07/16/2026
"Doll Dist - Des Moines, IA",Citrus Surfer Lime,Citrus Surfer Lime 1/6 Barrel Keg,DRAFT,107.787,0.112118501,961.3668,25.226663,91.733321,-0.725000002998,36.693328,10.090665089993,-97.696334910007,07/15/2026
"Doll Dist - Des Moines, IA",Summer Jam,Summer Jam 1/2 Barrel Keg,DRAFT,296.222,1.290299841269,229.5761,406.44445,626.888899,-0.351648353244,179.111114,116.126985714202,-207.651014285798,07/17/2026
"Doll Dist - Des Moines, IA",Summer Jam,Summer Jam 6/4/12oz Can,PACKAGE,126,2.722222222222,46.2857,245,289,-0.152249134948,0,0,-126,07/20/2026
"Doll Dist - Des Moines, IA",Summer Jam,Summer Jam 1/6 Barrel Keg,DRAFT,103.2,0.321395433397,321.0998,210.986649,284.373299,-0.258064488678,38.986662,28.925589005708,-85.741410994292,07/17/2026
"Doll Dist - Des Moines, IA",Royal Eddy,Royal Eddy 1/12/19.2oz Can,PACKAGE,252,1.895384615385,132.9545,211.2,83.2,1.538461538462,67.2,170.584615384646,-81.415384615354,07/20/2026
"Doll Dist - Des Moines, IA",Royal Eddy,Royal Eddy 4/6/12oz Can,PACKAGE,136,8.344615384614,16.2979,678,520,0.303846153846,576,751.015384615296,215.015384615296,07/20/2026
"Doll Dist - Des Moines, IA",Royal Eddy,Royal Eddy 1/2 Barrel Keg,DRAFT,75.778,1.301234588889,58.2355,117.111113,117.111113,0,117.111113,117.111113,13.777113,07/09/2026
"Doll Dist - Des Moines, IA",Royal Eddy,Royal Eddy 1/6 Barrel Keg,DRAFT,0,0,0,0,16.053331,-1,18.346664,0,0,10/23/2025
"Doll Dist - Des Moines, IA",RAGBRAI BEER,Ragbrai Beer 4/6/16oz Can,PACKAGE,441.333,0.588793920209,749.5543,41.333333,103.999993,-0.602564079019,133.333325,52.991452818834,-388.341547181166,07/20/2026
"Doll Dist - Des Moines, IA",Easy Going,Easy Going 2/12/12oz Can,PACKAGE,214,1.811111111111,118.1595,163,0,--,0,0,-214,07/17/2026
"Doll Dist - Des Moines, IA",Easy Going,Easy Going 4/6/12oz Can,PACKAGE,99,1.988888888889,49.7765,179,0,--,0,0,-129,07/17/2026
"Doll Dist - Des Moines, IA",Easy Going,Easy Going 1/6 Barrel Keg,DRAFT,55.04,0.101925911111,540.0001,9.173332,0,--,0,0,-55.04,07/02/2026
"Doll Dist - Des Moines, IA",Easy Going,Easy Going 1/2 Barrel,DRAFT,48.222,0.841975322222,57.2725,75.777779,0,--,0,0,-48.222,07/13/2026
"Doll Dist - Des Moines, IA",Silo Amber Ale,Silo Amber 4/6/12oz Can,PACKAGE,165,1.4,117.8571,126,0,--,0,0,-165,07/17/2026
"Doll Dist - Des Moines, IA",Silo Amber Ale,Silo Amber 1/2 Barrel Keg,DRAFT,110.222,4.209876611111,26.1818,378.888895,0,--,0,0,-254.889,07/16/2026
"Doll Dist - Des Moines, IA",Silo Amber Ale,Silo Amber 1/6 Barrel Keg,DRAFT,57.333,0.840888822222,68.1814,75.679994,0,--,0,0,-91.733,07/08/2026
"Doll Dist - Des Moines, IA",Zero Eddy,Zero Eddy 2/12/12oz Can,PACKAGE,126,4.5,28,405,0,--,0,0,-276,07/20/2026
"Doll Dist - Des Moines, IA",Zero Eddy,Zero Eddy 4/6/12oz Can,PACKAGE,84,5.966666666667,14.0782,537,0,--,0,0,-384,07/20/2026
"Doll Dist - Des Moines, IA",Wild Eddy,Wild Eddy 4/6/12oz Can,PACKAGE,91,1.924628450106,47.2819,210,314,-0.331210191083,259,173.216560509503,32.216560509503,07/20/2026
