Distributors,OnOff Premises,1 Year 1/1/2026 thru 7/7/2026 Case Equivs,Did Buys TY 90 Days 4/9/2026 thru 7/7/2026,Can Buy,Pct Sold TY 90 Days 4/9/2026 thru 7/7/2026
"Quality Brands of Omaha, NE",OFF,4718.485542,111,437,0.2540045767
"Quality Brands of Omaha, NE",ON,3279.924398,113,880,0.1284090909
"Quality Brands of Omaha, NE",NA,0,0,2,0
"Quality Brands of Lincoln, NE",OFF,1118.92,68,327,0.2079510703
"Quality Brands of Lincoln, NE",ON,425.875541,29,594,0.04882154882
"Quality Brands of Lincoln, NE",NA,0,0,2,0


