Distributors,OnOff Premises,1 Year 1/1/2026 thru 7/7/2026 Case Equivs,Did Buys TY 90 Days 4/9/2026 thru 7/7/2026,Can Buy,Pct Sold TY 90 Days 4/9/2026 thru 7/7/2026
"Central States Bev. Co. (High Life) - KS, KS",ON,5189.968903,40,410,0.09756097561
"Central States Bev. Co. (High Life) - KS, KS",OFF,1031.506665,86,473,0.1818181818
"Central States Bev. Co. (High Life) - KS, KS",NA,0,0,2,0
"Central States Bev. Co. (High Life) - MO, MO",ON,2117.751078,83,1198,0.06928213689
"Central States Bev. Co. (High Life) - MO, MO",OFF,890.773333,89,847,0.1050767414
"Central States Bev. Co. (High Life) - MO, MO",NA,3,1,2,0.5


