Distributors,OnOff Premises,1 Year 1/1/2026 thru 7/7/2026 Case Equivs,Did Buys TY 90 Days 4/9/2026 thru 7/7/2026,Can Buy,Pct Sold TY 90 Days 4/9/2026 thru 7/7/2026
"Doll Dist - Des Moines, IA",ON,21313.955268,428,1037,0.412729026
"Doll Dist - Des Moines, IA",OFF,18521.279955,250,401,0.6234413965
"Doll Dist - Des Moines, IA",NA,32.333333,1,1,1


